調查日期 Survey Date,<span style=font-weight:normal">太鬆 Too lenient</span>",<span style=font-weight:normal">合適 Appropriate</span>",<span style=font-weight:normal">太緊 Too strict</span>",<span style=font-weight:normal">限聚指數# GGPI#</span>"
2021/1/1,0,57.84419916,42.15580084,5.92990808
2021/1/2,0,35.25340132,64.74659868,7.5517393
2021/1/3,0,33.923132,66.076868,7.89863426
2021/1/4,0,35.25340132,64.74659868,7.5517393
2021/1/5,0,56.28204904,43.71795096,6.03019778
2021/1/6,0,33.67355245,66.32644755,7.95968034
2021/1/7,0,27.54854974,72.45145026,9.04746312
2021/1/8,0,33.67505018,66.32494982,7.95965039
2021/1/9,0,36.19887775,63.80112225,7.53265005
2021/1/10,0,56.45636546,43.54363454,6.02635054
2021/1/11,0,33.67355245,66.32644755,7.95968034
2021/1/12,0,35.25340132,64.74659868,7.5517393
2021/1/13,0,57.84419916,42.15580084,5.92990808
2021/1/14,0,35.25340132,64.74659868,7.5517393
2021/1/15,0,27.55004747,72.44995253,9.04554214
2021/1/16,0,33.95894746,66.04105254,7.89791795
2021/1/17,0,56.26438604,43.73561396,6.03062528
2021/1/18,0,56.45636546,43.54363454,6.02635054
2021/1/19,0,78.14164714,21.85835286,5.27678229
2021/1/20,0,56.45636546,43.54363454,6.02635054
2021/1/21,0,60.02910904,39.97089096,5.86345376
2021/1/22,0,59.89761779,40.10238221,5.86770584
2021/1/23,0,57.84419916,42.15580084,5.92990808
2021/1/24,0,63.57047868,36.42952132,5.69488413
2021/1/25,0,60.02910904,39.97089096,5.86345376
2021/1/26,0,59.90651468,40.09348532,5.8675279
2021/1/27,0,57.84419916,42.15580084,5.92990808
2021/1/28,0,57.84419916,42.15580084,5.92990808
2021/1/29,0,33.95894746,66.04105254,7.89748426
2021/1/30,0,56.26438604,43.73561396,6.03062528
2021/1/31,0,27.54854974,72.45145026,9.04710367
2021/2/1,0,56.28204904,43.71795096,6.03019778
2021/2/2,0,33.67505018,66.32494982,7.95965039
2021/2/3,0,27.54854974,72.45145026,9.04746312
2021/2/4,0,19.16165738,80.83834262,10.75159883
2021/2/5,0,27.50416933,72.49583067,9.15015295
2021/2/6,0,33.923132,66.076868,7.89863426
2021/2/7,0,19.16165738,80.83834262,10.75159883
2021/2/8,0,27.54854974,72.45145026,9.04728339
2021/2/9,0,33.67355245,66.32644755,7.95968034
2021/2/10,0,27.54854974,72.45145026,9.0473433
2021/2/11,0,18.50570251,81.49429749,10.83375978
